t,q[shoulder_pan],q[shoulder_lift],q[elbow_flex],q[wrist_flex],q[wrist_roll],qd[shoulder_pan],qd[shoulder_lift],qd[elbow_flex],qd[wrist_flex],qd[wrist_roll],qref[shoulder_pan],qref[shoulder_lift],qref[elbow_flex],qref[wrist_flex],qref[wrist_roll],tau_pid[shoulder_pan],tau_pid[shoulder_lift],tau_pid[elbow_flex],tau_pid[wrist_flex],tau_pid[wrist_roll],tau_dist[shoulder_pan],tau_dist[shoulder_lift],tau_dist[elbow_flex],tau_dist[wrist_flex],tau_dist[wrist_roll],tau_total[shoulder_pan],tau_total[shoulder_lift],tau_total[elbow_flex],tau_total[wrist_flex],tau_total[wrist_roll]
0.04800000000000003,-0.04492485354630409,-1.529282933523899,1.5157101922288858,0.9014790265744258,0.00019510178152557395,0.5384143527219166,1.9247469385245548,-1.5921074756604237,-1.7000144693788815,-0.002271269632036072,-0.07495679999991955,-1.571360000000638,1.5323199999993313,0.9389120000002522,0.0,-3.4527893150476365,-3.2512706952283263,1.0799726884118113,1.6024237927475253,-4.540037509856345e-05,0.12290731373947719,0.5929853899169534,0.7837836282090851,0.6237238626833337,0.14640052436084122,-3.3298820013081594,-2.658285305311373,1.8637563166208964,2.226147655430859,0.14635512398574266
0.05000000000000003,-0.04389297235321509,-1.5254972119935857,1.5125224897516736,0.8980844013679179,0.00019082082418998652,0.515940596544502,1.8928607651566742,-1.5938512386061197,-1.6973126032539327,-0.002140478667793722,-0.07487999999991964,-1.5697500000006375,1.530749999999332,0.937950000000252,0.0,-3.459009238723559,-3.293720867629285,1.1313676177816712,1.6492408024283036,-0.00013388513955638797,0.12720458782867977,0.5952434919327073,0.7840115864909645,0.6197931483541418,0.1409093042273559,-3.3318046508948793,-2.6984773756965774,1.9153792042726356,2.2690339507824455,0.1407754190877995
0.05200000000000003,-0.04290455217298032,-1.5217784113202857,1.509337051916316,0.8947003785847135,0.00018673025829289995,0.49421009011738465,1.8594003366499852,-1.5927189176788008,-1.6920113916021922,-0.0020452829485432832,-0.07480319999991972,-1.5681400000006367,1.5291799999993325,0.9369880000002517,0.0,-3.4641949420937417,-3.331293200875849,1.1806813461559404,1.6940296126061327,-0.00018568449643135195,0.13054953765318153,0.6018794384732451,0.7828592246192525,0.6144971368962767,0.13668105902863362,-3.3336454044405603,-2.729413762402604,1.963540570775193,2.3085267495024095,0.13649537453220226
0.054000000000000034,-0.04195815361051664,-1.5181283204547116,1.5061590043054776,0.8913315031470352,0.000182788624647797,0.47319928123184196,1.8250454327871046,-1.5890238054192414,-1.6844377188391204,-0.0019708168225514803,-0.0747263999999198,-1.5665300000006361,1.5276099999993333,0.9360260000002514,0.0,-3.468383533020182,-3.3648677324421907,1.227974274904355,1.7369281227211115,-0.00021661190171050988,0.13261810189351275,0.6047691420233359,0.7817625879949407,0.6077908448523823,0.1332304229386764,-3.3357654311266693,-2.760098590418855,2.0097368628992958,2.3447189675734936,0.13301381103696588
0.056000000000000036,-0.041052427714475606,-1.5145485857224916,1.5029931085603963,0.8879817206418835,0.00017897182065660405,0.45286294802051785,1.7898673661100053,-1.5829478725405974,-1.674891252575843,-0.0019084019955964793,-0.07464959999991988,-1.5649200000006354,1.526039999999334,0.9350640000002511,0.0,-3.471547282113689,-3.3944783483628833,1.2732261556348092,1.7780671616309878,-0.00023590032002442085,0.1377309767555292,0.6065586620501595,0.7827996655016551,0.6035120813695826,0.12802075976014468,-3.3338163053581598,-2.7879196863127236,2.0560258211364646,2.3815792430005702,0.12778485944012025
0.05800000000000004,-0.0401855663632613,-1.5110404134801407,1.4998439512405501,0.8846549070552489,0.0001752351235512986,0.4334306756071532,1.7540861211754564,-1.5745786599230323,-1.6634067933173253,-0.0018683485526527215,-0.07457279999991996,-1.5633100000006348,1.5244699999993347,0.9341020000002509,0.0,-3.4744325833096994,-3.4203846725698392,1.316356060186085,1.8173935378128312,-0.00023162737406654454,0.14028239270219797,0.6124779050594333,0.7818883409245638,0.6008662300448148,0.12302440238270958,-3.3341501906075015,-2.807906767510406,2.098244401110649,2.418259767857646,0.12279277500864304
0.06000000000000004,-0.039356117829819647,-1.5076039159976011,1.49671545459205,0.8813547733930942,0.0001715450573899003,0.4147242667208289,1.7182487412697527,-1.5642483242500476,-1.6500668310773365,-0.0018450330806991466,-0.07449599999992004,-1.5617000000006342,1.5228999999993353,0.9331400000002507,0.0,-3.4766598724925837,-3.4433479745211018,1.3574748796820053,1.8548907368051615,-0.00020954369619765375,0.14425213486283928,0.6169515291501174,0.7813595548878043,0.597312289882442,0.11813445369860448,-3.3324077376297443,-2.8263964453709844,2.1388344345698096,2.4522030266876036,0.11792491000240683
0.06200000000000004,-0.038562426061407834,-1.5042389774274816,1.4936112420544374,0.8780845335884986,0.00016787608142212728,0.3968458842059072,1.6824692850598164,-1.5521062688062925,-1.6351199022978264,-0.0018344879838865151,-0.07441919999992012,-1.5600900000006335,1.521329999999336,0.9321780000002504,0.0,-3.478620862974642,-3.4635324700632606,1.3965748357985102,1.890668413604386,-0.0001736816416244842,0.15058174224180512,0.6208993528938853,0.7802835536029497,0.5912951044094024,0.11507898809967744,-3.3280391207328366,-2.8426331171693753,2.1768583894014597,2.4819635180137887,0.11490530645805296
0.06400000000000004,-0.037802569947601845,-1.500945155412487,1.4905345484253756,0.8748467362907798,0.0001642329085917719,0.37992805690299275,1.6469110074973003,-1.5383468145309596,-1.6188986488594104,-0.0018215864151776891,-0.0743423999999202,-1.558480000000633,1.5197599999993368,0.9312160000002502,0.0,-3.4808078129852777,-3.4811843108580702,1.4336916359389553,1.9249083991210563,-0.00014074204648161079,0.1552647612000874,0.6251323053156383,0.7818523665750127,0.5896668602701546,0.11194786046734724,-3.3255430517851905,-2.856052005542432,2.215544002513968,2.514575259391211,0.11180711842086563
0.06600000000000004,-0.03707493688767354,-1.4977216708536965,1.4874885332381675,0.8716442016754574,0.0001606178216810469,0.3638165299641505,1.6117422793953582,-1.5230075936040417,-1.601267307661192,-0.001807543455362502,-0.07426559999992029,-1.5568700000006321,1.5181899999993373,0.9302540000002498,0.0,-3.4829170713737474,-3.4965702815275956,1.4687536341469873,1.9574592063063736,-0.00010941803738923625,0.16322850244635267,0.6257832001707351,0.7835353643140726,0.5873323402545627,0.10870290661368018,-3.3196885689273947,-2.870787081356861,2.2522889984610597,2.544791546560936,0.10859348857629095
